epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0626,2.85805,3.91519,1.9411,0.00392,0.32867,0.00365,0.00076,2.4789,3.80486,1.84242,0.00018,0.00018,0.00018
2,37.2338,2.42626,2.39824,1.5621,0.0105,0.88112,0.06588,0.0154,1.96753,3.3048,1.45379,0.00036119,0.00036119,0.00036119
3,48.2743,2.23327,1.8353,1.50196,0.00917,0.76923,0.05372,0.01529,1.86243,3.35897,1.44183,0.00052258,0.00052258,0.00052258
4,54.7208,2.13587,1.542,1.49429,0.01067,0.8951,0.01775,0.00551,1.78284,3.19504,1.39376,0.00066417,0.00066417,0.00066417
5,63.9413,2.04132,1.57831,1.44516,0.01117,0.93706,0.1059,0.03157,1.82431,3.17991,1.29769,0.00078596,0.00078596,0.00078596
6,71.435,2.00426,1.51578,1.37311,0.02626,0.98601,0.87232,0.36435,1.72111,2.59465,1.21141,0.00088795,0.00088795,0.00088795
7,81.2036,2.01016,1.42997,1.34066,0.89717,0.4881,0.76225,0.308,1.83697,2.56721,1.21976,0.00097014,0.00097014,0.00097014
8,93.2935,1.97735,1.32228,1.34727,0.88473,0.75142,0.88656,0.34383,1.88863,2.27779,1.32252,0.00103253,0.00103253,0.00103253
9,102.517,2.01983,1.39126,1.3567,0.87584,0.8951,0.90325,0.33066,1.90864,2.1121,1.29309,0.00107512,0.00107512,0.00107512
10,111.913,1.96041,1.27311,1.30765,0.83863,0.82517,0.89274,0.36283,1.87876,1.94994,1.33769,0.00109791,0.00109791,0.00109791
11,138.366,1.96992,1.5831,1.41257,0.39225,0.41974,0.31077,0.08622,2.28376,2.53261,1.64848,0.00101,0.00101,0.00101
12,150.258,1.98247,1.4761,1.43108,0.66219,0.74025,0.7219,0.26809,1.96452,1.64368,1.43485,0.000911,0.000911,0.000911
13,160.699,1.94125,1.3621,1.40088,0.65999,0.75524,0.70097,0.25973,1.98092,1.58036,1.4578,0.000812,0.000812,0.000812
14,172.468,1.97098,1.3233,1.38808,0.88699,0.91608,0.93099,0.40425,1.92974,1.31668,1.41412,0.000713,0.000713,0.000713
15,181.138,1.90883,1.29827,1.33585,0.91413,0.94406,0.94858,0.40265,1.90806,1.1867,1.44017,0.000614,0.000614,0.000614
16,190.643,1.88666,1.23979,1.32365,0.91666,0.93706,0.92191,0.38033,1.95418,1.14747,1.46548,0.000515,0.000515,0.000515
17,201.655,1.88074,1.21972,1.35716,0.96161,0.96503,0.96842,0.41928,1.87319,1.0834,1.40682,0.000416,0.000416,0.000416
18,210.797,1.85573,1.1869,1.34551,0.96241,0.97902,0.97372,0.44166,1.85624,1.01719,1.38953,0.000317,0.000317,0.000317
19,221.308,1.84304,1.12301,1.33523,0.91758,0.93421,0.92883,0.41292,1.91188,1.04418,1.4055,0.000218,0.000218,0.000218
20,231.436,1.83499,1.11347,1.32342,0.93227,0.96251,0.93543,0.41674,1.89348,1.02339,1.39155,0.000119,0.000119,0.000119
