epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.495,2.85805,3.91519,1.9411,0.00392,0.32867,0.00365,0.00076,2.4789,3.80486,1.84242,0.00018,0.00018,0.00018
2,25.4697,2.42728,2.40032,1.57078,0.01042,0.87413,0.02723,0.00832,1.9299,3.30282,1.45394,0.000372476,0.000372476,0.000372476
3,35.0844,2.23726,1.82615,1.50836,0.0075,0.62937,0.04236,0.01287,1.99758,3.4136,1.57034,0.000557032,0.000557032,0.000557032
4,42.8773,2.12306,1.53151,1.48714,0.01083,0.90909,0.19413,0.03621,1.91443,3.27391,1.5433,0.000733668,0.000733668,0.000733668
5,51.0856,2.05304,1.53149,1.45646,0.00942,0.79021,0.08986,0.02214,1.888,3.37294,1.43703,0.000902384,0.000902384,0.000902384
6,58.9583,2.0129,1.46038,1.38991,0.79064,0.31469,0.64007,0.19165,1.8869,2.67432,1.37792,0.00106318,0.00106318,0.00106318
7,67.949,2.04384,1.43439,1.35971,0.76127,0.46829,0.64963,0.1939,1.97748,2.58449,1.39285,0.00121606,0.00121606,0.00121606
8,76.4308,1.99984,1.31587,1.37155,0.64474,0.65734,0.61085,0.21148,1.91489,2.18148,1.40594,0.00136101,0.00136101,0.00136101
9,85.9138,2.02063,1.47139,1.36064,0.45387,0.51144,0.42976,0.16159,2.04759,2.26227,1.32645,0.00149805,0.00149805,0.00149805
10,97.1783,1.9885,1.29875,1.32425,0.63583,0.69595,0.62939,0.23764,1.92006,1.94136,1.36949,0.00162716,0.00162716,0.00162716
11,107.204,1.9782,1.25858,1.32935,0.45003,0.61801,0.46048,0.15738,2.08312,2.10464,1.4867,0.001604,0.001604,0.001604
12,116.416,1.96475,1.21104,1.33476,0.7692,0.72248,0.77991,0.28194,2.03267,1.54322,1.48642,0.0015644,0.0015644,0.0015644
13,125.072,2.00292,1.22164,1.33375,0.81164,0.66291,0.72013,0.27488,2.15418,1.48621,1.57531,0.0015248,0.0015248,0.0015248
14,135.925,1.96211,1.18087,1.35036,0.73594,0.63636,0.63992,0.18274,2.46371,1.40086,1.91295,0.0014852,0.0014852,0.0014852
15,146.122,1.96246,1.16382,1.35237,0.80674,0.81818,0.7751,0.25339,2.18236,1.3347,1.68724,0.0014456,0.0014456,0.0014456
16,155.705,1.94034,1.1388,1.3429,0.73921,0.6993,0.65948,0.2006,2.47686,1.44575,1.88482,0.001406,0.001406,0.001406
17,163.141,1.92442,1.12182,1.31388,0.80924,0.80096,0.75735,0.24119,2.33953,1.23986,1.81134,0.0013664,0.0013664,0.0013664
18,173.171,1.96954,1.14467,1.34432,0.83357,0.84062,0.85586,0.28984,2.28139,1.20184,1.74052,0.0013268,0.0013268,0.0013268
19,184.631,1.88646,1.10918,1.33041,0.842,0.74126,0.783,0.24604,2.42428,1.2271,1.85822,0.0012872,0.0012872,0.0012872
